,Unnamed: 0,Country,Date,Confirmed,Death,Recovered,newConfirmed,newDeath,newRecovered,lat,lng
10673,29010,Afghanistan,2020-11-06,41975,1554,34440,40,0,0,33.6056763,58.6980667
10905,58010,Albania,2020-11-06,23210,549,11861,489,6,165,41.1311861,17.8463017
11137,87010,Algeria,2020-11-06,60800,2024,41510,631,13,266,27.7998517,-7.3516362
11369,11601,Andorra,2020-11-06,5135,75,3858,0,0,0,42.5419286,1.3174887
11601,14501,Angola,2020-11-06,12223,300,5626,121,1,276,-11.077671,8.7356757
11833,17401,Antigua and Barbuda,2020-11-06,130,3,118,0,0,0,17.325118,-62.5706777
12065,20301,Argentina,2020-11-06,1228814,33136,1042237,11786,370,12100,-37.0560032,-81.6327078
12297,23201,Armenia,2020-11-06,101773,1506,61782,2210,30,1647,40.0489819,42.7975061
12529,26101,Australia,2020-11-06,27652,907,25440,8,0,13,-21.1895625,95.4746877
12761,29001,Austria,2020-11-06,138979,1340,83707,6464,72,3103,47.608907,8.8586484
12993,31901,Azerbaijan,2020-11-06,62338,811,47270,1465,17,805,40.0890734,43.2645834
13225,34801,Bahamas,2020-11-06,6882,150,4779,0,0,0,24.3680641,-80.4617189
13457,37701,Bahrain,2020-11-06,83023,328,80526,237,0,352,25.9406805,50.3073847
13689,40601,Bangladesh,2020-11-06,417475,6036,335027,1469,15,1439,23.4905831,88.1002603
13921,43501,Barbados,2020-11-06,242,7,228,3,0,4,13.1881386,-59.6753419
14153,46401,Belarus,2020-11-06,104286,1001,89555,991,3,424,53.6330885,23.4928052
14385,49301,Belgium,2020-11-06,488044,12708,28613,8703,188,626,50.4795318,2.2235539
14617,52201,Belize,2020-11-06,4016,67,2330,39,1,7,17.1876823,-89.4414767
14849,55101,Benin,2020-11-06,2745,43,2466,0,0,0,9.3003396,0.0648461
15081,58001,Bhutan,2020-11-06,358,0,338,0,0,5,27.4565151,88.1919256
15313,60901,Bolivia,2020-11-06,142343,8781,113899,142,13,513,-16.0920796,-72.5869263
15545,63801,Bosnia and Herzegovina,2020-11-06,59427,1457,29970,1921,55,281,43.894612,15.4300409
15777,66701,Botswana,2020-11-06,7835,27,5534,0,0,0,-22.280834,20.1915668
16009,69601,Brazil,2020-11-06,5631181,162015,5118156,41156,909,39994,-13.702797,-69.6865109
16241,72501,Brunei,2020-11-06,148,3,144,0,0,0,4.5499138,114.1590902
16473,75401,Bulgaria,2020-11-06,72184,1576,23436,3839,58,727,42.6376485,21.0542695
16705,78301,Burkina Faso,2020-11-06,2562,67,2366,12,0,19,12.2106764,-6.0519555
16937,81201,Burma,2020-11-06,59277,1376,43277,1342,24,1099,18.7807572,87.6372642
17169,84101,Burundi,2020-11-06,606,1,511,0,0,0,-3.3888818,28.8038728
17401,87001,Cabo Verde,2020-11-06,9224,100,8363,75,3,74,16.0202138,-25.1099868
17633,89901,Cambodia,2020-11-06,294,0,288,2,0,2,12.1363981,102.7361403
17865,92801,Cameroon,2020-11-06,22103,429,21151,0,0,0,7.3471672,7.7959276
18097,95701,Canada,2020-11-06,258874,10493,214441,5392,61,4012,56,-96
18329,98601,Central African Republic,2020-11-06,4866,62,1924,0,0,0,6.538871,11.890231
18561,101501,Chad,2020-11-06,1538,99,1362,9,0,8,15.263302,9.6964172
18793,104401,Chile,2020-11-06,518390,14450,494303,1808,46,1053,-35.4432057,-106.2422428
19025,10730,China,2020-11-06,91591,4741,86301,39,0,37,30.0313007,67.4692816
19257,11020,Colombia,2020-11-06,1127733,32405,1020263,9756,196,9097,4.5877987,-83.3863967
19489,11310,Comoros,2020-11-06,557,7,525,0,0,0,-11.9024929,43.3202846
19721,11600,Congo (Brazzaville),2020-11-06,5379,92,3887,31,0,0,-0.6921659,10.385914
19953,11890,Congo (Kinshasa),2020-11-06,11517,315,10838,67,0,52,-3.9834936,12.6823952
20185,12180,Costa Rica,2020-11-06,115417,1453,70421,1050,9,419,8.3515683,-87.0531975
20417,12470,Cote d'Ivoire,2020-11-06,20801,126,20477,12,0,11,7.4437687,-10.045613
20649,12760,Croatia,2020-11-06,62305,717,46021,2890,34,2645,44.3587758,11.9181222
20881,13050,Cuba,2020-11-06,7228,130,6542,44,1,40,21.4550764,-84.058737
21113,13340,Cyprus,2020-11-06,5557,27,1882,224,0,0,35.1636347,32.3040171
21345,13630,Czechia,2020-11-06,403497,4484,214882,11552,154,610,49.7170645,10.9886183
21577,13920,Denmark,2020-11-06,53692,738,39136,1427,5,873,56.1488816,7.0586993
21809,14210,Diamond Princess,2020-11-06,712,13,659,0,0,0,37.4923615,127.0292881
22041,14500,Djibouti,2020-11-06,5604,61,5481,5,0,2,11.8111262,41.5060138
22273,14790,Dominica,2020-11-06,57,0,35,0,0,0,15.4263293,-61.4975913
22505,15080,Dominican Republic,2020-11-06,129300,2261,107038,476,1,388,18.65657,-72.3743431
22737,15370,Ecuador,2020-11-06,172508,12761,149048,725,31,0,-1.3425155,-92.9445067
22969,15660,Egypt,2020-11-06,108754,6343,100106,224,14,100,26.6194394,21.8566593
23201,15950,El Salvador,2020-11-06,34966,1002,30941,184,5,234,13.7464451,-90.0516008
23433,16240,Equatorial Guinea,2020-11-06,5092,85,4968,0,0,0,1.1404769,3.9392084
23665,16530,Eritrea,2020-11-06,484,0,429,0,0,0,15.1429617,35.3352266
23897,16820,Estonia,2020-11-06,5705,73,4103,241,0,71,58.5423125,20.4492361
24129,17110,Eswatini,2020-11-06,5976,117,5704,9,0,10,-26.5165659,30.9023092
24361,17400,Ethiopia,2020-11-06,98746,1512,58103,355,4,989,9.0373003,31.4545637
24593,17690,Fiji,2020-11-06,34,2,31,0,0,0,-16.5060019,174.9648711
24825,17980,Finland,2020-11-06,17385,362,12700,266,1,0,64.6233799,17.0907948
25057,18270,France,2020-11-06,1709716,39916,131810,60727,828,2051,45.8665231,-6.9240942
25289,18560,Gabon,2020-11-06,9022,55,8878,17,0,32,-0.9209004,6.9755673
25521,18850,Gambia,2020-11-06,3684,121,3527,3,1,9,13.4075574,-17.6133369
25753,19140,Georgia,2020-11-06,51993,423,37019,2775,22,3560,32.6581585,-85.4219599
25985,19430,Germany,2020-11-06,653992,11240,405809,22820,130,11193,51.0899232,5.968358
26217,19720,Ghana,2020-11-06,48788,320,47521,0,0,0,7.8984774,-3.2749614
26449,20010,Greece,2020-11-06,52254,715,23074,2447,13,0,38.0602976,19.99062
26681,20300,Grenada,2020-11-06,30,0,27,0,0,0,12.2596604,-61.8704954
26913,20590,Guatemala,2020-11-06,110502,3794,100319,653,28,566,15.711383,-92.4791813
27145,20880,Guinea,2020-11-06,12363,73,10751,0,0,0,9.9029018,-15.9577414
27377,21170,Guinea-Bissau,2020-11-06,2414,42,1862,0,0,0,11.6920439,-17.5336958
27609,21460,Guyana,2020-11-06,4457,133,3467,64,3,58,4.9396878,-61.1976031
27841,21750,Haiti,2020-11-06,9127,232,7618,18,0,29,19.0216489,-75.3592525
28073,22040,Holy See,2020-11-06,27,0,15,0,0,0,37.4923615,127.0292881
28305,22330,Honduras,2020-11-06,99576,2741,42609,229,5,35,15.1796059,-90.7063322
28537,22620,Hungary,2020-11-06,99625,2250,23213,4709,103,390,47.0734517,15.0176097
28769,22910,Iceland,2020-11-06,5039,18,4286,22,0,49,64.5944444,-28.1791174
29001,23200,India,2020-11-06,8462080,125562,7819886,50356,577,53920,20.0127399,64.4523598
29233,23490,Indonesia,2020-11-06,429574,14442,360705,3778,94,3563,-1.8785136,78.0556148
29465,23780,Iran,2020-11-06,663800,37409,509952,8864,424,4665,31.9740371,44.6740084
29697,24070,Iraq,2020-11-06,493139,11244,423266,3568,69,3060,33.1401745,39.2220124
29929,24360,Ireland,2020-11-06,64538,1940,23364,492,7,0,53.3623854,-10.4601123
30161,24650,Israel,2020-11-06,318402,2644,306890,539,5,777,31.3867115,32.8380848
30393,24940,Italy,2020-11-06,862681,40638,322925,37802,446,10586,40.9401583,3.7241571
30625,25230,Jamaica,2020-11-06,9426,218,4801,53,1,56,18.1160905,-78.3974428
30857,25520,Japan,2020-11-06,106136,1810,95010,1172,4,634,31.681995,120.3034471
31089,25810,Jordan,2020-11-06,101248,1136,8506,5384,67,170,37.4923615,127.0292881
31321,26100,Kazakhstan,2020-11-06,115439,1857,107530,613,0,191,46.5940518,49.0384383
31553,26390,Kenya,2020-11-06,60704,1093,40131,1109,21,938,0.1540843,33.4099837
31785,26680,"Korea, South",2020-11-06,27284,477,24910,89,1,89,35.7354629,123.3818031
32017,26970,Kosovo,2020-11-06,22934,732,15981,728,12,60,42.5571984,19.7809767
32249,27260,Kuwait,2020-11-06,130463,804,121263,825,5,699,29.3093892,46.4144788
32481,27550,Kyrgyzstan,2020-11-06,61748,1170,52855,439,3,512,41.1355493,70.2500128
32713,27840,Laos,2020-11-06,24,0,23,0,0,0,18.1570195,99.3626821
32945,28130,Latvia,2020-11-06,7476,95,1444,357,7,0,56.7997634,20.0604511
33177,28420,Lebanon,2020-11-06,91328,700,45820,2142,17,0,33.8684811,34.7262136
33409,28710,Lesotho,2020-11-06,1967,44,1024,4,0,36,-29.6184758,27.1122315
33641,29000,Liberia,2020-11-06,1442,82,1310,2,0,5,6.4059652,-11.6970021
33873,29290,Libya,2020-11-06,66444,915,38624,1004,8,514,26.0774984,8.3088008
34105,29580,Liechtenstein,2020-11-06,741,3,481,49,0,27,47.159333,9.413552
34337,29870,Lithuania,2020-11-06,20747,192,5454,1656,6,169,55.0911663,19.3990525
34569,30160,Luxembourg,2020-11-06,21806,180,12094,659,3,575,49.8139484,5.5729102
34801,30450,Madagascar,2020-11-06,17111,244,16409,0,0,0,-18.7719242,42.3713071
35033,30740,Malawi,2020-11-06,5942,184,5346,2,0,8,-13.2385687,32.0510988
35265,31030,Malaysia,2020-11-06,38189,279,26380,1755,2,726,4.0892925,100.570574
35497,31320,Maldives,2020-11-06,11932,39,11041,39,1,31,3.1025305,68.7420147
35729,31610,Mali,2020-11-06,3657,137,2817,24,0,10,17.3695486,-13.0222902
35961,31900,Malta,2020-11-06,6893,73,4832,129,3,67,35.9421244,14.098163
36193,32190,Marshall Islands,2020-11-06,1,0,0,0,0,0,9.4725587,157.1841439
36425,32480,Mauritania,2020-11-06,7804,165,7469,27,0,6,20.7804207,-19.981696
36657,32770,Mauritius,2020-11-06,453,10,416,0,0,0,-20.1924034,55.4312662
36889,33060,Mexico,2020-11-06,955128,94323,812556,5931,551,3493,22.4878769,-120.887902
37121,33350,Moldova,2020-11-06,80501,1882,60220,935,16,1000,46.9578316,26.1472139
37353,33640,Monaco,2020-11-06,454,2,331,24,0,13,43.7378501,7.4083429
37585,33930,Mongolia,2020-11-06,357,0,314,1,0,0,45.4472335,85.9468911
37817,34220,Montenegro,2020-11-06,22079,328,15294,546,0,179,42.6887549,18.2722619
38049,34510,Morocco,2020-11-06,246349,4127,200954,5398,68,3739,31.4831175,-16.1607716
38281,34800,Mozambique,2020-11-06,13485,99,11275,94,2,98,-18.4215392,26.7717188
38513,35090,MS Zaandam,2020-11-06,9,2,0,0,0,0,37.4923615,127.0292881
38745,35380,Namibia,2020-11-06,13143,133,11578,53,0,140,-22.7116071,9.3383081
38977,35670,Nepal,2020-11-06,188883,1070,152908,2909,18,4500,28.3236393,79.6362605
39209,35960,Netherlands,2020-11-06,404392,7954,6075,7280,118,30,52.191735,3.0369282
39441,36250,New Zealand,2020-11-06,1976,25,1908,2,0,3,-39.3846249,157.3172296
39673,36540,Nicaragua,2020-11-06,5591,157,4225,0,0,0,12.8593516,-87.2621572
39905,36830,Niger,2020-11-06,1230,69,1143,4,0,1,17.391752,-0.9554024
40137,37120,Nigeria,2020-11-06,63731,1155,59844,223,0,96,8.9233587,-0.3674603
40369,37410,North Macedonia,2020-11-06,37499,1096,22835,1127,12,309,41.0982412,19.9928299
40601,37700,Norway,2020-11-06,23835,285,11863,606,1,0,63.4772451,0.1104799
40833,37990,Oman,2020-11-06,117167,1286,107368,0,0,0,21.3866305,51.6562476
41065,38280,Pakistan,2020-11-06,341753,6943,317898,1502,20,812,30.0497935,60.3349021
41297,38570,Panama,2020-11-06,137760,2770,115990,1193,14,912,8.3522621,-84.6033472
41529,38860,Papua New Guinea,2020-11-06,597,7,580,0,0,0,-6.2975756,141.3548333
41761,39150,Paraguay,2020-11-06,66481,1472,46466,703,10,672,-23.3703636,-62.94402
41993,39440,Peru,2020-11-06,914722,34730,838265,0,0,0,-9.1305506,-84.0642748
42225,39730,Philippines,2020-11-06,391809,7461,349974,2084,52,431,11.5563841,113.5790874
42457,40020,Poland,2020-11-06,493765,7287,188675,27086,445,10994,51.8684183,14.6489197
42689,40310,Portugal,2020-11-06,166900,2792,93754,5550,52,2301,35.8382773,-36.881976
42921,40600,Qatar,2020-11-06,133811,232,130881,192,0,201,25.3430485,50.6572839
43153,40890,Romania,2020-11-06,287062,7663,195971,10260,123,4886,45.8539747,20.5322954
43385,41180,Russia,2020-11-06,1720063,29654,1288096,20368,369,16747,55,103
43617,41470,Rwanda,2020-11-06,5208,36,4953,16,0,13,-1.9432848,28.7590534
43849,41760,Saint Kitts and Nevis,2020-11-06,19,0,19,0,0,0,17.2495511,-62.8366863
44081,42050,Saint Lucia,2020-11-06,110,0,32,4,0,0,13.9128128,-61.1106027
44313,42340,Saint Vincent and the Grenadines,2020-11-06,76,0,71,0,0,0,12.9714329,-61.5635953
44545,42630,San Marino,2020-11-06,1043,42,754,0,0,0,43.9428566,12.3900534
44777,42920,Sao Tome and Principe,2020-11-06,960,16,910,2,0,1,0.8986029,6.4329964
45009,43210,Saudi Arabia,2020-11-06,349822,5506,336533,436,17,465,23.8141536,36.0486373
45241,43500,Senegal,2020-11-06,15676,326,15294,8,0,21,14.4362166,-19.0140526
45473,43790,Serbia,2020-11-06,57958,871,0,2282,10,0,44.1888188,18.6794416
45705,44080,Seychelles,2020-11-06,158,0,155,1,0,4,-7.0687721,46.689949
45937,44370,Sierra Leone,2020-11-06,2373,74,1807,2,0,2,8.4159176,-14.0820378
46169,44660,Singapore,2020-11-06,58047,28,57959,4,0,10,1.3139843,103.5640535
46401,44950,Slovakia,2020-11-06,71088,317,16990,2354,31,564,48.5852595,15.2127885
46633,45240,Slovenia,2020-11-06,42658,497,18825,1564,26,1635,46.1273099,12.7501716
46865,45530,Solomon Islands,2020-11-06,13,0,4,0,0,0,-9.2645286,152.5271508
47097,45820,Somalia,2020-11-06,4229,107,3247,0,0,0,5.2310274,41.8058511
47329,46110,South Africa,2020-11-06,734175,19749,675593,1761,72,4014,-34.2969541,18.2479026
47561,46400,South Sudan,2020-11-06,2943,59,1290,0,0,0,7.7660983,20.6491937
47793,46690,Spain,2020-11-06,1328832,38833,150376,22516,347,0,39.8596584,-12.7036393
48025,46980,Sri Lanka,2020-11-06,12970,30,7186,400,1,563,7.8517315,78.4616949
48257,47270,Sudan,2020-11-06,13943,837,6764,0,0,0,15.5996674,21.2160555
48489,47560,Suriname,2020-11-06,5227,112,5102,2,0,5,3.9804064,-58.2513017
48721,47850,Sweden,2020-11-06,146461,6022,0,4697,20,0,61.7420918,8.4412106
48953,48140,Switzerland,2020-11-06,211913,2710,87300,9409,82,200,46.7912769,5.9814056
49185,48430,Syria,2020-11-06,6102,309,2254,62,4,59,34.7323425,34.5106638
49417,48720,Taiwan*,2020-11-06,573,7,523,4,0,0,23.4212975,115.5890508
49649,49010,Tajikistan,2020-11-06,11256,83,10546,37,0,52,38.7721511,66.7575596
49881,49300,Tanzania,2020-11-06,509,21,183,0,0,0,-6.3533569,30.4917423
50113,49590,Thailand,2020-11-06,3830,60,3644,12,0,5,13.0003076,96.992706
50345,49880,Timor-Leste,2020-11-06,30,0,29,0,0,0,-8.7827118,123.4845096
